organism,subset,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,gaba_potentiation|k2p_potentiation,3000.0,42,0.0,14.432291666666666,4.433611111111111
worm,gaba_potentiation|complex_i_block,10.0,443,0.0,23.291666666666668,7.308194444444444
worm,gaba_potentiation|complex_i_block,30.0,42,0.0,22.234375,6.933333333333334
worm,gaba_potentiation|complex_i_block,30.0,137,0.0,21.03125,6.642361111111111
worm,gaba_potentiation|complex_i_block,30.0,219,0.0,22.114583333333332,6.940833333333333
worm,gaba_potentiation|k2p_potentiation,3000.0,137,0.0,13.385416666666666,4.153611111111111
worm,gaba_potentiation|k2p_potentiation,3000.0,219,0.0,14.651041666666666,4.5001388888888885
worm,gaba_potentiation|k2p_potentiation,3000.0,331,0.0,13.739583333333334,4.265555555555555
worm,gaba_potentiation|k2p_potentiation,3000.0,443,0.0,14.216145833333334,4.369305555555556
worm,gaba_potentiation|complex_i_block,10.0,42,0.0,23.192708333333332,7.251388888888889
worm,gaba_potentiation|complex_i_block,10.0,137,0.0,22.205729166666668,7.0225
worm,gaba_potentiation|complex_i_block,10.0,219,0.0,23.138020833333332,7.286111111111111
worm,gaba_potentiation|complex_i_block,10.0,331,0.0,22.5078125,7.075555555555556
worm,gaba_potentiation|complex_i_block,100.0,219,0.0,19.520833333333332,6.113333333333333
worm,gaba_potentiation|complex_i_block,100.0,331,0.0,18.739583333333332,5.857083333333334
worm,gaba_potentiation|complex_i_block,100.0,443,0.0,19.544270833333332,6.076388888888889
worm,gaba_potentiation|complex_i_block,200.0,42,0.0,16.973958333333332,5.228194444444444
worm,gaba_potentiation|complex_i_block,200.0,137,0.0,16.1015625,5.019861111111111
worm,gaba_potentiation|complex_i_block,200.0,219,0.0,17.403645833333332,5.393888888888889
worm,gaba_potentiation|complex_i_block,200.0,331,0.0,16.026041666666668,4.9934722222222225
worm,gaba_potentiation|complex_i_block,200.0,443,0.0,16.677083333333332,5.155138888888889
worm,gaba_potentiation|complex_i_block,30.0,331,0.0,21.494791666666668,6.74
worm,gaba_potentiation|complex_i_block,30.0,443,0.0,22.53125,7.052222222222222
worm,gaba_potentiation|complex_i_block,100.0,42,0.0,19.294270833333332,5.978472222222222
worm,gaba_potentiation|complex_i_block,100.0,137,0.0,18.104166666666668,5.691944444444444
worm,gaba_potentiation|complex_i_block,350.0,443,0.0,14.6875,4.530138888888889
worm,gaba_potentiation|complex_i_block,500.0,42,0.0,13.583333333333334,4.175694444444445
worm,gaba_potentiation|complex_i_block,500.0,137,0.0,12.760416666666666,3.9479166666666665
worm,gaba_potentiation|complex_i_block,500.0,219,0.0,14.192708333333334,4.3613888888888885
worm,gaba_potentiation|complex_i_block,350.0,42,0.0,15.127604166666666,4.6466666666666665
worm,gaba_potentiation|complex_i_block,350.0,137,0.0,13.966145833333334,4.328611111111111
worm,gaba_potentiation|complex_i_block,350.0,219,0.0,15.385416666666666,4.722361111111111
worm,gaba_potentiation|complex_i_block,350.0,331,0.0,14.239583333333334,4.421666666666667
worm,gaba_potentiation|complex_i_block,1000.0,219,0.0,12.166666666666666,3.7218055555555556
worm,gaba_potentiation|complex_i_block,1000.0,331,0.020833333333333332,11.723958333333334,3.591388888888889
worm,gaba_potentiation|complex_i_block,1000.0,443,0.0,11.861979166666666,3.6141666666666667
worm,gaba_potentiation|complex_i_block,3000.0,42,0.0,10.669270833333334,3.2369444444444446
worm,gaba_potentiation|complex_i_block,500.0,331,0.0,13.528645833333334,4.172916666666667
worm,gaba_potentiation|complex_i_block,500.0,443,0.0,13.869791666666666,4.245555555555556
worm,gaba_potentiation|complex_i_block,1000.0,42,0.0,11.830729166666666,3.6234722222222224
worm,gaba_potentiation|complex_i_block,1000.0,137,0.0,11.192708333333334,3.4391666666666665
worm,gaba_potentiation|complex_i_block,3000.0,137,0.0,9.9296875,3.0279166666666666
worm,gaba_potentiation|complex_i_block,3000.0,219,0.0,11.130208333333334,3.3733333333333335
worm,gaba_potentiation|complex_i_block,3000.0,331,0.020833333333333332,10.518229166666666,3.189722222222222
