organism,subset,anesthetic,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,42,0.0,18.416666666666668,5.6681944444444445
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,137,0.0,17.653645833333332,5.489027777777777
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,219,0.0,19.0078125,5.857916666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,219,0.0,11.924479166666666,3.52375
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,331,0.0,11.510416666666666,3.412777777777778
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,443,0.0,11.864583333333334,3.487222222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,42,0.020833333333333332,7.020833333333333,1.9929166666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,331,0.0,18.229166666666668,5.611527777777778
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,30.0,443,0.0,19.0234375,5.829305555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,42,0.0,11.690104166666666,3.4293055555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,100.0,137,0.0,10.809895833333334,3.2284722222222224
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,137,0.020833333333333332,6.799479166666667,1.9402777777777778
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,219,0.0625,7.098958333333333,2.0369444444444444
