organism,subset,compound,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,30.0,137,0.0,22.9453125,7.266111111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,30.0,219,0.0,23.434895833333332,7.381805555555555
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,30.0,331,0.0,23.3515625,7.341527777777777
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,30.0,443,0.0,24.119791666666668,7.563194444444444
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,100.0,42,0.0,23.4296875,7.344305555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,300.0,42,0.0,23.4375,7.337777777777778
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,300.0,137,0.0,22.5,7.122083333333333
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,300.0,219,0.0,23.3359375,7.35125
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,300.0,331,0.0,23.018229166666668,7.234166666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,300.0,443,0.0,23.765625,7.462916666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,1000.0,42,0.0,22.981770833333332,7.175833333333333
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,1000.0,137,0.0,22.114583333333332,6.974444444444444
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,1000.0,219,0.0,22.815104166666668,7.17625
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,100.0,137,0.0,22.700520833333332,7.192083333333334
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,100.0,219,0.0,23.286458333333332,7.3348611111111115
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,100.0,331,0.0,23.1875,7.289166666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,100.0,443,0.0,24.169270833333332,7.5744444444444445
