anesthetic,cmd_rate,dose_uM,organism,perm,qf,seed
hexafluoroethane,1.7650455927051671,300.0,fly,P1_ER,0.0,42
hexafluoroethane,1.747173252279635,300.0,fly,P1_ER,0.0,137
hexafluoroethane,1.7508814589665656,300.0,fly,P1_ER,0.0,443
hexafluoroethane,1.759756838905775,300.0,fly,P1_ER,0.0,331
hexafluoroethane,1.7426443768996958,1000.0,fly,P1_ER,0.0,42
hexafluoroethane,1.7516717325227964,300.0,fly,P1_ER,0.0,219
hexafluoroethane,1.724924012158055,1000.0,fly,P1_ER,0.0,137
hexafluoroethane,1.7271428571428573,1000.0,fly,P1_ER,0.0,219
hexafluoroethane,1.7358054711246202,1000.0,fly,P1_ER,0.0,331
hexafluoroethane,1.7272644376899695,1000.0,fly,P1_ER,0.0,443
hexafluoroethane,1.6996352583586627,3000.0,fly,P1_ER,0.0,42
hexafluoroethane,1.6802127659574466,3000.0,fly,P1_ER,0.0,137
hexafluoroethane,1.6836170212765957,3000.0,fly,P1_ER,0.0,219
hexafluoroethane,1.6387841945288755,10000.0,fly,P1_ER,0.0,42
hexafluoroethane,1.693130699088146,3000.0,fly,P1_ER,0.0,331
hexafluoroethane,1.6856838905775071,3000.0,fly,P1_ER,0.0,443
hexafluoroethane,1.6207598784194528,10000.0,fly,P1_ER,0.0,137
hexafluoroethane,1.6247720364741645,10000.0,fly,P1_ER,0.0,219
hexafluoroethane,1.6327051671732524,10000.0,fly,P1_ER,0.0,331
hexafluoroethane,1.628328267477204,10000.0,fly,P1_ER,0.0,443
halothane,18.7275,10.0,worm,P2_config,0.0,42
hexafluoroethane,1.6008814589665656,30000.0,fly,P1_ER,0.0,42
halothane,18.2175,10.0,worm,P2_config,0.0,137
halothane,18.87375,10.0,worm,P2_config,0.0,219
hexafluoroethane,1.584924012158055,30000.0,fly,P1_ER,0.0,137
hexafluoroethane,1.5959270516717328,30000.0,fly,P1_ER,0.0,331
halothane,18.465,10.0,worm,P2_config,0.0,443
hexafluoroethane,1.588662613981763,30000.0,fly,P1_ER,0.0,219
halothane,14.9675,30.0,worm,P2_config,0.0,42
halothane,18.17125,10.0,worm,P2_config,0.0,331
halothane,13.72625,30.0,worm,P2_config,0.0,137
hexafluoroethane,1.5935562310030398,30000.0,fly,P1_ER,0.0,443
halothane,15.265,30.0,worm,P2_config,0.0,219
halothane,14.15,30.0,worm,P2_config,0.0,331
halothane,6.9125,100.0,worm,P2_config,0.05,42
halothane,14.37625,30.0,worm,P2_config,0.0,443
halothane,6.33,100.0,worm,P2_config,0.04,137
halothane,6.66,100.0,worm,P2_config,0.03,331
halothane,2.64375,200.0,worm,P2_config,0.63,42
halothane,6.6425,100.0,worm,P2_config,0.03,219
halothane,2.51625,200.0,worm,P2_config,0.65,137
halothane,2.47375,200.0,worm,P2_config,0.65,219
halothane,2.60125,200.0,worm,P2_config,0.65,331
halothane,2.4425,200.0,worm,P2_config,0.7,443
halothane,6.56,100.0,worm,P2_config,0.01,443
halothane,1.25625,300.0,worm,P2_config,0.96,42
halothane,1.1575,300.0,worm,P2_config,1.0,137
halothane,1.195,300.0,worm,P2_config,0.97,331
halothane,1.145,300.0,worm,P2_config,0.98,443
halothane,0.59125,500.0,worm,P2_config,1.0,42
halothane,0.5075,500.0,worm,P2_config,1.0,137
halothane,1.1525,300.0,worm,P2_config,0.99,219
halothane,0.49625,500.0,worm,P2_config,1.0,219
